,,Institution,Founded,EIIN,Web,Number,Email,,,733,732,601
,A,Adamjee Cantonment Public School - ACPS       ,"16-Feb, 1960",107843,https://www.acps.edu.bd/,02-9834876,adamjeeschool@gmail.com,,,81,81,39
,A,Adamjee Cantonment College - ACC       ,"16-Feb, 1960",107855,https://acc.edu.bd/,02-8872446,info@acc.edu.bd,,,31,31,4
Name Changed,A,Adamjee Cantonment Public School & College - ACPSCJ                               ,"1-Jan, 2018",139648,www.srcpsc.edu.bd,01769-019333,srcpsc2018@gmail.com,,,412,405,210
,A,Alikadam Cantonment Public School & College - ACPSC   ,"12 Oct, 2018",138430,https://www.acpsc.edu.bd/,01894-949815,info@acpsc.edu.bd,,,484,483,327
Newly added,B,BAF Shaheen College Dhaka – BAFSD,1960,107858,,,,,,158,156,48
Newly added,B,BAF Shaheen College Kurmitola – BAFSK,1972,107859,,,,,,165,162,94
Title changed,B,"Bir Uttam Shaheed Samad School & College, Rangpur - BUSSSC","17-Mar, 1974",127377,www.busshsr.edu.bd,0521-62436,contact@busshsr.edu.bd,,,509,495,247
Newly added,B,BAF Shaheen College Jashore – BAFSJ,1976,116115,,,,,,250,249,106
Newly added,B,Bangladesh Noubahini School & College Chattogram - BNCC,1977,104264,,,,,,153,146,42
Name Changed,C,Bogura Cantonment Board High School - BCBHS,1977,119174,https://www.sohopathi.com/bogra-cantonment-board-high-school/,051-62825,bcbhschool@yahoo.com,,,174,174,78
Newly added,B,Bangladesh Noubahini School & College Dhaka - BNCD,"21-Feb, 1978",107854,,,,,,371,371,342
Newly added,B,BAF Shaheen College Chattogram – BAFSC,1978,104265,,,,,,373,365,162
,B,Bogura Cantonment Public School & College - BCPSC     ,"27-Mar, 1979",119251,https://www.bcpsc.edu.bd/,01769-113172,webbcpsc@gmail.com,,,102,102,47
Newly added,B,Bangladesh Noubahini School & College Khulna - BNCK,1979,117112,,,,,,69,66,15
Newly added,B,Bangladesh Noubahini School & College Kaptai - BNCKR,1983,107735,,,,,,96,94,43
,B,Bangladesh Military Academy High School - BMAHS       ,"11-Jan, 1985",105075,https://www.sohopathi.com/bangladesh-military-academy-high-school/,01712-582682,bma_highschool@yahoo.com,,,65,64,23
,B,Bayezid Bostami Cantonment Board High School - BBCBHS    ,1989,104043,N/A,01309-104043,blhsctg@gmail.com,,,49,48,17
,B,Birshreshtho Mohiuddin Jahangir Cantonment Board High School - BMJCBHS  ,1989,104406,N/A,01309-104406,info@bmjcbhs.edu.bd,,,110,110,99
Name Changed,B,Bhatiary Cantonment Public School & College - BYCPSC,"14- Jan, 1993",139402,https://cpscbma.edu.bd/,01769-264398,bcsc.ctg@gmail.com,,,155,134,42
Title changed,B,"Bangladesh International School & College, Mohakhali - BISCM","14-Mar, 1995",133937,https://bisc.com.bd/,02-9871656,principal@bisc.com.bd,,,-,-,-
Newly added,B,BAF Shaheen College Paharkanchanpur – BAFSP,"15- Jul, 1997",114634,,,,,,72,72,39
Newly added,B,BAF Shaheen English Medium College – BAFSEMC,1998,190082,,,,,,154,149,42
,B,Baridhara Scholars International School & College - BSISC      ,"1-Jan, 2001",133988,http://www.bsidhaka.edu.bd/,02-8415585,bsi_school@yahoo.com,,,150,146,61
,B,Bandarban Cantonment Public School & College - BBCPSC   ,"8-Feb, 2007",133211,https://bbcpsc.edu.bd/,0361-62588,info@bbcpsc.edu.bd,,,77,72,14
Newly added,B,BAF Shaheen College Shamshernagar – BAFSS,"01-Jun, 2011",135720,,,,,,124,124,104
Newly added,B,Bangladesh Noubahini School & College Mongla - BNCM,2014,136752,,,,,,68,67,22
Title changed,B,"Bangladesh International School & College, Nirjhor - BISCN",2015,138186,https://bisc.edu.bd/,02-7913462,info@bisnirjhor.edu.bd,,,-,-,-
Name Changed,B,Barishal Cantonment Public School & College - BSCPSC,"21-Jan, 2019",138998,https://www.shcpsc.edu.bd/,01769-073171,shcpsc10@gmail.com,,,97,97,93
Title changed,B,"Bangladesh International School & College, Jolshiri - BISCJ","7-Nov, 2020",140230,https://biscjolshiri.com/,01769-019341,bisc.jolshiri@gmail.com,,,144,136,52
Newly added,B,BAF Shaheen College Bogura – BAFSB,2020,139080,,,,,,176,174,64
,C,Chattogram Cantonment Board High School - CCBHS    ,"20-April, 1955",104409,N/A,1309104409,cantschoolctg@gmail.com,,,190,190,146
Title changed,C,"Cantonment Board Boy’s High School, Cumilla - CBBHS","1-Jul, 1956",105780,https://cbbhsc.edu.bd/,081-72853,info@cbbhsc.edu.bd,,,113,113,62
,C,Chattogram Cantonment Public College - CCPC     ,"23-Oct, 1961",104051,https://ccpc.edu.bd/,02-339243170,ccpc1961@yahoo.com,,,162,162,116
,C,Cantonment College Jashore - CCJ       ,"01-Jun, 1969",116109,https://jcc.edu.bd/,02-479553170,prinicipalccjc@gmail.com,,,543,542,330
,C,"Cantonment Board High School, Rajendrapur, Gazipur - CBHSRG                              ","1-Jan, 1976",108986,https://deb108986.dhakaeducationboard.gov.bd/,01714-524847,info@cbhsrg.edu.bd,,,240,240,188
,C,"Cantonment Public School & College, Rangpur - CPSCR      ",1978,127500,http://cpscr.edu.bd/,01769-665430,cpsc.rng1978@gmail.com,,,114,114,92
,C,"Cantonment Public School & College, Saidpur - CPSCS   ","4-Apr, 1979",125248,http://www.cpscs.edu.bd/,01708-358061,office@cpscs.edu.bd,,,75,75,50
,C,"Cantonment High School, Jessore - CHSJ      ","12-Jul, 1982",115961,https://www.chsjsr.edu.bd/,04-2165083,chsjessore1982@gmail.com,,,134,84,11
,C,"Cantonment Board High School, Jahangirabad, Bogura - CBHSJB  ","12-Feb, 1984",119268,http://www.cbhsj.edu.bd/,01712-211288,caboubja@gmail.com,,,131,128,64
,C,Cantonment Public School Khulna - CPSK      ,"1-Nov,1984",117333,https://www.cpsckhulna.edu.bd/,01769-564544,cpsc.khulna@gmail.com,,,87,85,26
,C,"Cantonment Board High School, Ghatail - CBHSG    ","4-Nov, 1984",114119,https://www.cbhsgt.edu.bd/,01716-190753,gcbhs1984@gmail.com,,,-,-,-
,C,"Cantonment Board Girl’s High School, Cumilla - CBGHSC 
SENANIBAS PORSHAD GIRLS' HIGH SCHOOL","1-Jan, 1989",105765,https://www.sohopathi.com/cantonment-board-girls-high-school-comilla/,01748-727002,cantonmentbordgirlshighschool@yahoo.com,,,92,74,14
,C,"Cantonment Board Madhymic Bidyalaya, Cumilla - CBMBC","1-Jan, 1989",105769,https://www.sohopathi.com/cantonment-board-madhymic-bidyalaya/,01829-773278,cantonmentboardmadyamikschool@gmail.com,,,30,30,0
